Model,Build1_Release_Average(ms),Build1_Release_Median(ms),Build1_Release_P90(ms),Build1_Release_CPU(%),Build1_Release_Min(ms),Build1_Release_Max(ms),Build1_Release_ExitCode,Build2_win-arm64_Average(ms),Build2_win-arm64_Median(ms),Build2_win-arm64_P90(ms),Build2_win-arm64_CPU(%),Build2_win-arm64_Min(ms),Build2_win-arm64_Max(ms),Build2_win-arm64_ExitCode
PSA1,381.56,372.90,458.12,78,313.13,458.97,0,332.01,330.74,368.60,82,264.96,394.13,0
PSA2,532.76,501.09,654.40,69,453.49,930.85,0,955.73,951.49,1052.18,65,821.35,1103.26,0
PSF,119.30,113.36,180.67,80,74.39,203.96,0,118.26,102.59,173.77,83,71.67,211.24,0
PSH,109.88,100.94,181.02,78,67.94,200.67,0,340.58,356.08,490.14,73,121.02,521.50,0
PSI,192.99,205.48,293.32,73,91.56,320.77,0,424.41,428.86,604.46,72,247.41,612.91,0
PSJ,34.47,27.31,66.65,79,16.89,93.28,0,98.36,96.24,130.33,84,67.68,139.25,0
PSL,341.19,350.44,571.72,78,189.71,617.56,0,1057.48,1169.12,1358.95,70,519.22,1433.88,0
PSP1,2472.93,2466.04,2710.64,62,1996.49,2761.93,0,3394.68,3371.04,3789.61,66,2917.31,3793.86,0
PSV,64.18,61.62,85.01,79,42.66,105.69,0,108.51,104.95,156.78,70,74.60,166.57,0
PSW,30.96,28.47,45.01,85,20.93,46.16,0,100.91,94.04,171.82,82,56.41,181.91,0
